Unnamed: 0,id,text,label,type,model_wrong,db.model_preds,status,round,split,annotator,Incitement of Violence,Praising violence,Praising extremist acts,Targeting ethnic or racial groups,Ideologically motivated threats,Anti-democratic rhetoric,Personal Attacks,Sexual harassment,Physical violence,Psychological attacks
14,10014,women are a burden to our society,hate,notgiven,True,0.9814,dynabench entry,1,dev,cagnluiznm,0,0,0,1,0,0,1,1,0,1
15,10015,gay people are a burden to our society,hate,notgiven,True,0.53936,dynabench entry,1,train,cagnluiznm,0,0,0,0,0,0,0,0,0,0
16,10016,gay people are a burden on our society,hate,notgiven,True,0.8682,dynabench entry,1,train,cagnluiznm,0,0,0,1,0,0,1,0,0,0
17,10017,Why is it that foreigners smell weird? Do they not wash?,hate,notgiven,True,0.89113,dynabench entry,1,train,cagnluiznm,0,0,0,0,0,0,1,1,0,1
18,10018,Why is it that french people smell weird? Do they not wash?,hate,notgiven,True,0.96767,dynabench entry,1,train,cagnluiznm,0,0,0,0,0,0,0,0,0,0
19,10019,Why is it that white people smell weird? Do they not wash?,hate,notgiven,True,0.92169,dynabench entry,1,train,cagnluiznm,0,0,0,1,0,0,1,1,0,1
20,10020,Why is it that asian people smell weird? Do they not wash?,hate,notgiven,True,0.92405,dynabench entry,1,train,cagnluiznm,0,0,0,0,0,0,0,0,0,0
21,10021,Why is it that black people smell weird? Do they not wash?,hate,notgiven,True,0.83432,dynabench entry,1,train,cagnluiznm,0,0,0,0,0,0,1,0,0,1
22,10022,Why is it that Africans smell weird? Do they not wash?,hate,notgiven,False,0.37971,dynabench entry,1,train,cagnluiznm,0,0,0,1,0,0,1,0,0,1
23,10023,Why is it that African people smell weird? Do they not wash?,hate,notgiven,True,0.56723,dynabench entry,1,dev,cagnluiznm,0,0,0,0,0,0,0,0,0,0
24,10024,Why is it that whites smell weird? Do they not wash?,hate,notgiven,True,0.91835,dynabench entry,1,train,cagnluiznm,0,0,0,1,0,0,1,0,0,1
25,10025,Why is it that dikes smell weird? Do they not wash?,hate,notgiven,True,0.80692,dynabench entry,1,train,cagnluiznm,0,0,0,0,0,0,0,0,0,0
26,10026,Why is it that welsh people smell weird? Do they not wash?,hate,notgiven,True,0.96381,dynabench entry,1,train,cagnluiznm,0,0,0,1,0,0,1,0,0,1
27,10027,I dont hate hindus,nothate,none,False,0.97793,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
28,10028,I dont hate Muslims,nothate,none,False,0.98672,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
29,10029,I dont hatefucking Islam,nothate,none,True,0.05814,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
30,10030,I dont hate fucking Muslims,nothate,none,True,0.00707,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
31,10031,The world full of women is unfair,nothate,none,False,0.98859,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
32,10032,Government is incompetent,nothate,none,True,0.06605,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
33,10033,short people are somehow not smart,nothate,none,False,0.99206,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
34,10034,short people are smart to some extent,nothate,none,False,0.99844,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
35,10035,short people are damn smart,nothate,none,False,0.99303,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
36,10037,short women are fucking cute,nothate,none,True,0.39223,dynabench entry,1,dev,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
37,10038,short men are fucking weird,nothate,none,False,0.92885,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
38,10039,tall men are intelligent,nothate,none,False,0.99438,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
39,10040,disabled people are stupid,nothate,none,True,0.09295,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
40,10041,kids are dumb,nothate,none,False,0.93163,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
41,10042,pear is not tasty,nothate,none,False,0.99483,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
42,10043,blonde ladies are fuc''ing smart,nothate,none,True,0.01191,dynabench entry,1,test,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
43,10044,blonde people are not smart,nothate,none,False,0.83987,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
44,10045,Arabs are terrorists,nothate,none,True,0.11515,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
45,10046,Terrorists must be Muslims,nothate,none,False,0.89751,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
46,10047,Terrorists must be Muslim rats,nothate,none,True,0.10132,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
47,10048,Terrorists are always Muslim but never white,nothate,none,False,0.98106,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
48,10049,Terrorists are always fucking Muslim but never white,nothate,none,True,0.0643,dynabench entry,1,test,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
49,10050,veiled women are dumb,nothate,none,True,0.31599,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
50,10051,blonde people suck,nothate,none,True,0.03023,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
51,10052,Blonde people are bad,nothate,none,True,0.09154,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
52,10053,Blonde women are sick,nothate,none,True,0.05152,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
53,10054,Blonde men are sick,nothate,none,True,0.05893,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
54,10056,"immigrants are like animals , they dont belong to this world",nothate,none,True,0.02581,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
55,10057,Indian people are not smart,nothate,none,False,0.94961,dynabench entry,1,test,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
56,10058,Indian people smell like spices,nothate,none,False,0.95928,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
57,10059,Indian people smell like fucking spices,nothate,none,True,0.02098,dynabench entry,1,dev,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
58,10061,Lesbians suck and i dont know how to could accept themselves,nothate,none,True,0.03327,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
59,10062,fat women are stupid,nothate,none,True,0.25338,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
60,10063,gay people need medical treatment,nothate,none,False,0.97913,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
61,10064,gay people should seek fucking medical help,nothate,none,True,0.07169,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
62,10065,Arabs are dumb,hate,notgiven,False,0.13062,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
63,10066,"Be quiet, you silly little girl",hate,notgiven,False,0.01665,dynabench entry,1,dev,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
64,10067,You throw like a girl,hate,notgiven,True,0.95625,dynabench entry,1,train,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
65,10068,He throws like a girl,hate,notgiven,True,0.96309,dynabench entry,1,test,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
66,10069,Women can't throw,hate,notgiven,True,0.92486,dynabench entry,1,dev,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
67,10071,Girls can't play football,hate,notgiven,True,0.97307,dynabench entry,1,train,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
68,10072,Women shouldn't even try to play football,hate,notgiven,True,0.97946,dynabench entry,1,train,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
69,10073,Football is a man's game,hate,notgiven,True,0.99864,dynabench entry,1,train,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
70,10074,She's almost as good as a man,hate,notgiven,True,0.99642,dynabench entry,1,dev,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
71,10075,She's not as good as a man,hate,notgiven,True,0.96963,dynabench entry,1,test,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
73,10076,Women aren't as good as men,hate,notgiven,True,0.98117,dynabench entry,1,train,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
74,10078,She's not as good as a man,hate,notgiven,True,0.96963,dynabench entry,1,test,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
76,10079,Women will never be as good as men,hate,notgiven,True,0.9836,dynabench entry,1,train,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
77,10080,"Women should stick to the things they're good at, mainly domestic chores",hate,notgiven,True,0.98553,dynabench entry,1,train,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
78,10081,Women never stop talking,hate,notgiven,True,0.9873,dynabench entry,1,train,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
79,10082,Women talk too much,hate,notgiven,True,0.99248,dynabench entry,1,train,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
80,10083,Women never shut up,hate,notgiven,True,0.96549,dynabench entry,1,dev,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
81,10085,Kids get set the wrong example when their mum goes out to work,hate,notgiven,True,0.97831,dynabench entry,1,train,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
82,10086,If she's going to go to work why bother having children?,hate,notgiven,True,0.99527,dynabench entry,1,train,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
83,10087,Ban working mums,hate,notgiven,True,0.99654,dynabench entry,1,train,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
84,10088,Ban women from the workplace,hate,notgiven,True,0.98961,dynabench entry,1,test,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
85,10089,Get women out of the workplace,hate,notgiven,True,0.99495,dynabench entry,1,dev,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
86,10091,Men should leave the childcare to women and focus on more important things,hate,notgiven,True,0.99772,dynabench entry,1,train,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
87,10092,"Men are too important to do childcare, its a womans job",hate,notgiven,True,0.98166,dynabench entry,1,train,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
88,10099,"It's women's job to raise kids, it's all theyre good for",hate,notgiven,True,0.99535,dynabench entry,1,train,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
89,10100,Women shouldn't even pretend to like sport,hate,notgiven,True,0.98915,dynabench entry,1,train,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
90,10102,Men who cry make me sick,hate,notgiven,True,0.95944,dynabench entry,1,train,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
91,10103,Only gay men cry,hate,notgiven,True,0.80637,dynabench entry,1,train,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
92,10104,Gay men are such crybabies,hate,notgiven,False,0.05585,dynabench entry,1,test,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
93,10105,Women are so oversensitive,hate,notgiven,True,0.76339,dynabench entry,1,test,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
94,10106,His parents must have done something wrong or he wouldn't be disabled,hate,notgiven,True,0.98421,dynabench entry,1,train,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
95,10107,It's the parents fault they were born crippled,hate,notgiven,True,0.62433,dynabench entry,1,dev,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
96,10108,"I wouldn't spend my life looking after a cripple child, what a waste of time",hate,notgiven,True,0.99224,dynabench entry,1,train,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
97,10135,my meal was fucking disgusting at pizza express tonight,nothate,none,True,0.02047,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
98,10136,my meal was fucking disgusting,nothate,none,True,0.014,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
99,10138,racism is fucking disgusting,nothate,none,True,0.02175,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
100,10139,smoking is fucking disgusting,nothate,none,True,0.02719,dynabench entry,1,test,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
101,10142,drinking is fucking disgusting,nothate,none,True,0.01161,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
102,10143,protesting is fucking disgusting,nothate,none,True,0.02201,dynabench entry,1,dev,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
103,10145,climate change is fucking disgusting,nothate,none,True,0.03082,dynabench entry,1,dev,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
104,10147,coffee is fucking disgusting,nothate,none,True,0.01387,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
105,10148,tea is fucking disgusting,nothate,none,True,0.01326,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
106,10149,quiche is fucking disgusting,nothate,none,True,0.02199,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
107,10150,the weather is fucking disgusting,nothate,none,True,0.02939,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
108,10157,"i can assure you, most of us women hate to clean up the filth in their houses",nothate,none,True,0.21603,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
109,10159,"i can assure you, it is a woman's job to clean up the filth in their house",hate,notgiven,True,0.8564,dynabench entry,1,dev,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
110,10160,my house is filthy,nothate,none,True,0.12191,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
111,10161,my sisters house is filthy,nothate,none,True,0.12773,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
112,10162,her house is filthy lol,nothate,none,False,0.90287,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
113,10163,"her personality is filthy lol, typical woman",hate,notgiven,False,0.18825,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
114,10166,i think most muslims would agree that rapists are scum of the earth,nothate,none,True,0.08041,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
115,10167,i think most jewish people would agree that rapists are scum of the earth,nothate,none,True,0.08844,dynabench entry,1,test,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
116,10171,i think most black people would agree that rapists are scum of the earth,nothate,none,True,0.13428,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
117,10172,i think most women would agree that rapists are scum of the earth,nothate,none,True,0.28823,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
118,10174,i think most men would agree that rapists are scum of the earth,nothate,none,True,0.28351,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
119,10175,i think most disabled people would agree that rapists are scum of the earth,nothate,none,True,0.42462,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
120,10178,i think most married people would agree that rapists are scum of the earth,nothate,none,True,0.21141,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
121,10179,i think most unmarried people would agree that rapists are scum of the earth,nothate,none,True,0.2332,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
122,10181,i think most old people would agree that rapists are scum of the earth,nothate,none,True,0.19694,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
123,10182,i think most young people would agree that rapists are scum of the earth,nothate,none,True,0.37091,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
124,10185,i think most pregnant women would agree that rapists are scum of the earth,nothate,none,True,0.48824,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
125,10187,i think most asian people would agree that rapists are scum of the earth,nothate,none,True,0.16086,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
126,10190,i think most Romanian people would agree that rapists are scum of the earth,nothate,none,True,0.12597,dynabench entry,1,dev,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
127,10191,i think most refugees would agree that rapists are scum of the earth,nothate,none,True,0.22322,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
128,10192,i think most immigrants would agree that rapists are scum of the earth,nothate,none,True,0.17587,dynabench entry,1,test,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
129,10196,i think most trans people would agree that rapists are scum of the earth,nothate,none,True,0.41862,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
130,10197,i think most cis people would agree that rapists are scum of the earth,nothate,none,True,0.33559,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
131,10198,i think most working class people would agree that rapists are scum of the earth,nothate,none,True,0.23443,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
132,10199,i think most gay people would agree that rapists are scum of the earth,nothate,none,True,0.18786,dynabench entry,1,dev,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
133,10200,i think most bisexual people would agree that rapists are scum of the earth,nothate,none,True,0.21901,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
134,10207,Arabs are not welcome,hate,notgiven,True,0.93272,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
135,10210,Muslims are not British,hate,notgiven,True,0.99657,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
136,10211,Hijab on women is not welcome,hate,notgiven,True,0.97585,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
137,10212,Hijab is anti British,hate,notgiven,True,0.90595,dynabench entry,1,test,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
138,10213,Refugees are unwelcome,hate,notgiven,True,0.98449,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
139,10214,Refugees are disgusting,hate,notgiven,False,0.08862,dynabench entry,1,dev,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
140,10215,Refugees are dirty,hate,notgiven,False,0.08284,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
141,10216,Good bye Refugees,hate,notgiven,True,0.98993,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
142,10217,any normal person with a brain would agree that whatever comes out of trumps mouth is complete bullshit,nothate,none,True,0.09174,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
143,10219,Asylum seekers are unwelcome,hate,notgiven,True,0.98241,dynabench entry,1,dev,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
144,10220,any normal person with a brain would agree that whatever comes out of boris johnsons mouth is complete bullshit,nothate,none,True,0.18528,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
145,10221,We had enough of refugees,hate,notgiven,True,0.99628,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
146,10222,any normal person with a brain would agree that whatever comes out of matt hancocks mouth is complete bullshit,nothate,none,True,0.0891,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
147,10223,any normal person with a brain would agree that whatever comes out of michael goves mouth is complete bullshit,nothate,none,True,0.0808,dynabench entry,1,test,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
148,10224,any normal person with a brain would agree that whatever comes out of dominic raabs mouth is complete bullshit,nothate,none,True,0.09412,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
149,10225,any normal person with a brain would agree that whatever comes out of rishi sunak's mouth is complete bullshit,nothate,none,True,0.09075,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
150,10226,any normal person with a brain would agree that whatever comes out of clintons mouth is complete bullshit,nothate,none,True,0.08736,dynabench entry,1,test,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
151,10227,any normal person with a brain would agree that whatever comes out of your mouth is complete bullshit,nothate,none,True,0.2186,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
152,10228,refugees must leave our country,hate,notgiven,True,0.89446,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
153,10229,it is our country not theirs,hate,notgiven,True,0.9854,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
154,10230,any normal person with a brain would agree that whatever comes out of jefferee starr's mouth is complete bullshit,nothate,none,True,0.08383,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
155,10231,any normal person with a brain would agree that whatever comes out of kris jenners mouth is complete bullshit,nothate,none,True,0.18557,dynabench entry,1,test,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
156,10232,Britain without strangers,hate,notgiven,True,0.99338,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
157,10233,any normal person with a brain would agree that whatever comes out of dominic cumming's mouth is complete bullshit,nothate,none,True,0.13903,dynabench entry,1,test,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
158,10234,any normal person with a brain would agree that whatever comes out of beth rigby's mouth is complete bullshit,nothate,none,True,0.11097,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
159,10235,Britain without foreigners,hate,notgiven,True,0.99532,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
160,10236,Britain is for the white,hate,notgiven,True,0.99762,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
161,10237,the black are unwelcome,hate,notgiven,True,0.64987,dynabench entry,1,dev,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
162,10238,down syndrome is retarded,hate,notgiven,False,0.04252,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
163,10239,disabled people are sick,hate,notgiven,True,0.99247,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
164,10240,any normal person with a brain would agree that whatever comes out of obamas mouth is complete bullshit,nothate,none,True,0.10905,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
165,10241,I am tired of Brexit,hate,notgiven,True,0.99203,dynabench entry,1,test,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
166,10242,any normal person with a brain would agree that whatever comes out of a nazi's mouth is complete bullshit,nothate,none,True,0.13923,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
167,10243,any normal person with a brain would agree that whatever comes out of a rapists mouth is complete bullshit,nothate,none,True,0.1624,dynabench entry,1,test,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
168,10244,any normal person with a brain would agree that whatever comes out of a racists mouth is complete bullshit,nothate,none,True,0.40229,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
169,10245,any normal person with a brain would agree that whatever comes out of misogynists mouth is complete bullshit,nothate,none,False,0.92745,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
170,10247,discrimination against women is so wrong and disgusting,nothate,none,False,0.87827,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
171,10248,"discrimination against women is not wrong and disgusting, its good",hate,notgiven,True,0.97862,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
172,10250,Britain without EU,hate,notgiven,True,0.99379,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
173,10251,"discrimination against disabled people is not wrong and disgusting, its good",hate,notgiven,True,0.96632,dynabench entry,1,dev,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
174,10252,no for immigrants,hate,notgiven,True,0.99622,dynabench entry,1,train,vde7gn0nrl,0,0,0,0,0,0,0,0,0,0
175,10253,"discrimination against blacks is not wrong and disgusting, its good",hate,notgiven,True,0.93804,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
176,10254,"discrimination against n1gg4z is not wrong and disgusting, its good",hate,notgiven,True,0.91802,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
177,10255,"discrimination against f4gz is not wrong and disgusting, its good",hate,notgiven,True,0.95175,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
178,10256,"discrimination against r3t4rdz is not wrong and disgusting, its good",hate,notgiven,True,0.95328,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
179,10257,"discrimination against lgbt people is not wrong and disgusting, its good",hate,notgiven,True,0.95542,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
180,10258,"discrimination against transgender people is not wrong and disgusting, its good",hate,notgiven,True,0.96531,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
181,10259,"discrimination against jewish people is not wrong and disgusting, its good",hate,notgiven,True,0.91749,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
182,10260,"discrimination against asian people is not wrong and disgusting, its good",hate,notgiven,True,0.9616,dynabench entry,1,train,tbubpfn6ip,0,0,0,0,0,0,0,0,0,0
